item_id,date,location,p10,p50,p90
10,2018-01-01T00:00:00Z,5,29.942987442,36.6840248108,44.2793731689
10,2018-01-02T00:00:00Z,5,34.203994751,42.1898345947,52.1627693176
10,2018-01-03T00:00:00Z,5,32.0278396606,41.6770820618,51.452709198
10,2018-01-04T00:00:00Z,5,31.9712257385,43.3236122131,50.3962249756
10,2018-01-05T00:00:00Z,5,41.7930641174,49.6543312073,57.7446708679
10,2018-01-06T00:00:00Z,5,43.0438804626,52.5352973938,62.3405685425
10,2018-01-07T00:00:00Z,5,43.8062591553,54.5943870544,64.0298309326
10,2018-01-08T00:00:00Z,5,28.1873817444,35.7041816711,47.2045593262
10,2018-01-09T00:00:00Z,5,32.1042098999,39.4377441406,49.6184272766
10,2018-01-10T00:00:00Z,5,30.6500854492,40.6769371033,52.1139144897
10,2018-01-11T00:00:00Z,5,31.6435832977,44.0352935791,52.8686141968
10,2018-01-12T00:00:00Z,5,37.5146789551,47.2733421326,58.5131492615
10,2018-01-13T00:00:00Z,5,42.8885726929,49.6636619568,58.8818511963
10,2018-01-14T00:00:00Z,5,43.6757507324,54.1901550293,62.4466705322
10,2018-01-15T00:00:00Z,5,26.0964050293,33.6827049255,44.3863830566
10,2018-01-16T00:00:00Z,5,33.7680892944,40.9497146606,53.5489387512
10,2018-01-17T00:00:00Z,5,32.8388977051,43.0142211914,51.8794937134
10,2018-01-18T00:00:00Z,5,33.5615158081,43.6637268066,54.2843933105
10,2018-01-19T00:00:00Z,5,40.2888870239,48.4375228882,57.3833732605
10,2018-01-20T00:00:00Z,5,40.992767334,50.5620918274,59.5056762695
10,2018-01-21T00:00:00Z,5,44.5101394653,52.831073761,63.9279212952
10,2018-01-22T00:00:00Z,5,27.8922080994,34.4562683105,44.759765625
10,2018-01-23T00:00:00Z,5,33.2811393738,43.5922393799,51.7953109741
10,2018-01-24T00:00:00Z,5,30.5576095581,40.6563262939,49.6526794434
10,2018-01-25T00:00:00Z,5,37.4936103821,46.6525306702,54.6733398438
10,2018-01-26T00:00:00Z,5,37.5099182129,46.7761878967,56.1500511169
10,2018-01-27T00:00:00Z,5,42.0974845886,51.1989364624,61.2280807495
10,2018-01-28T00:00:00Z,5,46.6954841614,53.6435813904,65.7572784424
10,2018-01-29T00:00:00Z,5,26.4947624207,34.5482711792,42.2784881592
10,2018-01-30T00:00:00Z,5,31.6855316162,39.631061554,47.3540802002
10,2018-01-31T00:00:00Z,5,34.2968101501,41.800075531,50.2199172974
10,2018-02-01T00:00:00Z,5,39.3381271362,48.6716537476,58.0125961304
10,2018-02-02T00:00:00Z,5,43.5262451172,51.608745575,64.9732437134
10,2018-02-03T00:00:00Z,5,46.8862075806,56.5271759033,69.9069366455
10,2018-02-04T00:00:00Z,5,47.5289955139,60.1958580017,69.8574371338
10,2018-02-05T00:00:00Z,5,33.4182357788,42.0869102478,53.2234573364
10,2018-02-06T00:00:00Z,5,38.0859527588,47.8926429749,56.0785751343
10,2018-02-07T00:00:00Z,5,38.5787277222,46.8859214783,56.3116111755
10,2018-02-08T00:00:00Z,5,41.0465431213,50.4245872498,62.4216346741
10,2018-02-09T00:00:00Z,5,44.7864685059,54.8110733032,63.623916626
10,2018-02-10T00:00:00Z,5,44.7545166016,56.4228057861,66.6385116577
10,2018-02-11T00:00:00Z,5,50.429977417,61.4874229431,72.9643173218
10,2018-02-12T00:00:00Z,5,31.0436477661,40.284122467,49.4837417603
10,2018-02-13T00:00:00Z,5,38.4875946045,46.4945716858,57.6865539551
10,2018-02-14T00:00:00Z,5,39.5054740906,47.8404006958,57.1205329895
10,2018-02-15T00:00:00Z,5,41.3871536255,50.6256866455,60.351234436
10,2018-02-16T00:00:00Z,5,41.2184066772,52.4545516968,66.3264923096
10,2018-02-17T00:00:00Z,5,43.0531921387,56.5928611755,66.7555389404
10,2018-02-18T00:00:00Z,5,52.7847442627,62.3122291565,70.3608169556
10,2018-02-19T00:00:00Z,5,31.9576778412,40.6497306824,49.6208190918
10,2018-02-20T00:00:00Z,5,35.1417999268,46.2019844055,55.2058601379
10,2018-02-21T00:00:00Z,5,39.36120224,47.0370140076,60.5740318298
10,2018-02-22T00:00:00Z,5,39.6026916504,49.5777320862,59.0978775024
10,2018-02-23T00:00:00Z,5,45.9803466797,53.6922569275,63.8189735413
10,2018-02-24T00:00:00Z,5,48.4462242126,57.5718765259,68.2198181152
10,2018-02-25T00:00:00Z,5,51.8305740356,61.1682357788,72.2458877563
10,2018-02-26T00:00:00Z,5,30.8200111389,40.5535888672,49.4213867188
10,2018-02-27T00:00:00Z,5,36.7544784546,45.1663703918,52.4589118958
10,2018-02-28T00:00:00Z,5,38.2687950134,48.9246940613,57.7273864746
10,2018-03-01T00:00:00Z,5,44.36353302,54.7040557861,63.6712112427
10,2018-03-02T00:00:00Z,5,51.7035827637,61.2639312744,71.6418380737
10,2018-03-03T00:00:00Z,5,54.3482551575,64.5729141235,76.8570480347
10,2018-03-04T00:00:00Z,5,57.9132995605,68.3800964355,82.0884017944
10,2018-03-05T00:00:00Z,5,37.5955047607,50.0072860718,62.7263755798
10,2018-03-06T00:00:00Z,5,43.3859481812,55.2630844116,66.648399353
10,2018-03-07T00:00:00Z,5,44.9054069519,53.3220672607,62.5584487915
10,2018-03-08T00:00:00Z,5,46.0733528137,59.3856544495,71.0369262695
10,2018-03-09T00:00:00Z,5,51.8781967163,63.2270431519,74.0131607056
